ERROR 2025-12-26 17:44:01,194 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:44:01,244 opcua_client [33m🔄 Retrying connection to Lutete Bore hole...[0m
INFO 2025-12-26 17:44:02,215 ua_client close_session
INFO 2025-12-26 17:44:02,222 ua_client close_secure_channel
DEBUG 2025-12-26 17:44:02,228 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:44:02,236 ua_client Request to close socket received
WARNING 2025-12-26 17:44:02,242 opcua_client ⚠️ testing: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:44:02,249 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:44:02,261 opcua_client [36m🔐 Using Anonymous Authentication for testing[0m
INFO 2025-12-26 17:44:02,267 ua_client opening connection
INFO 2025-12-26 17:44:06,410 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:44:06,417 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:44:06,423 opcua_client [36m🔄 Bombo bh1 status updated to faulty[0m
ERROR 2025-12-26 17:44:06,438 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:44:06,454 opcua_client [33m🔄 Retrying connection to Bombo bh1...[0m
INFO 2025-12-26 17:44:09,286 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:44:09,291 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:44:09,296 opcua_client [36m🔄 testing status updated to faulty[0m
ERROR 2025-12-26 17:44:09,306 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:44:09,315 opcua_client [33m🔄 Retrying connection to testing...[0m
INFO 2025-12-26 17:44:14,475 ua_client close_session
INFO 2025-12-26 17:44:14,480 ua_client close_secure_channel
DEBUG 2025-12-26 17:44:14,484 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:44:14,490 ua_client Request to close socket received
WARNING 2025-12-26 17:44:14,496 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:44:14,502 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:44:14,508 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
INFO 2025-12-26 17:44:14,512 ua_client opening connection
INFO 2025-12-26 17:44:14,562 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:44:14,566 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:44:14,569 opcua_client [36m🔄 mityana bh1 status updated to faulty[0m
ERROR 2025-12-26 17:44:14,580 opcua_client [31m Connection failed: [Errno -5] No address associated with hostname[0m
WARNING 2025-12-26 17:44:14,588 opcua_client [33m🔄 Retrying connection to mityana bh1...[0m
INFO 2025-12-26 17:44:28,748 ua_client close_session
INFO 2025-12-26 17:44:28,752 ua_client close_secure_channel
DEBUG 2025-12-26 17:44:28,754 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:44:28,757 ua_client Request to close socket received
WARNING 2025-12-26 17:44:28,759 opcua_client ⚠️ Lutete Bore hole: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:44:28,762 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:44:28,764 opcua_client [36m🔐 Using Anonymous Authentication for Lutete Bore hole[0m
INFO 2025-12-26 17:44:28,767 ua_client opening connection
INFO 2025-12-26 17:44:34,019 ua_client close_session
INFO 2025-12-26 17:44:34,021 ua_client close_secure_channel
